SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,JPN,2,30,670.85,113755,8,113755,GRC,1988
H0,GP,DDR,2,33,6373,2498786,8,2498786,BOL,1988
H0,GP,DDR,2,40,73985,290286,8,290286,BRA,1988
H0,GP,DDR,2,41,42939,2805535,8,2805535,KEN,1988
H0,GP,FIN,2,34,23778.323,9.29E+07,8,9.29E+07,SVU,1988
H0,GP,DDR,2,18,10,60280,8,60280,MLI,1988
H0,GP,JPN,2,29,534.517,26283,8,26283,SWE,1988
H0,GP,DDR,2,27,5,798,8,798,DMA,1988
H0,GP,JPN,2,30,2712.512,322044,8,322044,NZL,1988
H0,GP,DDR,2,34,3566,994167,8,994167,CHL,1988
H0,GP,JPN,2,41,35134.174,2150754,8,2150754,YUG,1988
H0,GP,JPN,2,34,1240.596,1308812,8,1308812,BRN,1988
H0,GP,DDR,2,21,458,95567,8,95567,ZAF,1988
H0,GP,JPN,2,29,47.013,2580,5,,SEN,1988
H0,GP,DDR,2,25,84001,3.93E+07,8,3.93E+07,ESP,1988
H0,GP,DDR,2,30,38,5586,8,5586,DOM,1988
H0,GP,JPN,2,42,18.248,24072,5,,WSM,1988
H0,GP,JPN,2,41,43542.229,883077,5,,SWE,1988
H0,GP,DDR,2,26,3836,9856510,8,9856510,ESP,1988
H0,GP,DDR,2,38,32503,3917752,8,3917752,NGA,1988
H0,GP,DDR,2,41,441,36710,8,36710,BMU,1988
H0,GP,DDR,2,21,8888,1.12E+07,8,1.12E+07,CHE,1988
H0,GP,JPN,2,40,1450893.44,9.08E+09,5,,HKG,1988
H0,GP,DDR,2,25,14,2909,8,2909,ABW,1988
H0,GP,DDR,2,15,11,35898,8,35898,CYP,1988
H0,GP,FIN,2,10,30991.149,1652984,8,1652984,ITA,1988
H0,GP,DDR,2,10,4096,2640411,8,2640411,PRT,1988
H0,GP,FIN,2,25,5766.403,1980638,8,1980638,JPN,1988
H0,GP,JPN,2,40,2880.641,41350,8,41350,PNG,1988
H0,GP,JPN,2,10,1845.106,68427,8,68427,USA,1988
H0,GP,JPN,2,34,809468.273,1.89E+09,8,1.89E+09,USA,1988
H0,GP,JPN,2,33,3.286,1754,7,2000,PNG,1988
H0,GP,DDR,2,18,93,181306,8,181306,URY,1988
H0,GP,JPN,2,26,12.855,464000,5,464,NLD,1988
H0,GP,DDR,2,24,48,43069,8,43069,AUS,1988
H0,GP,JPN,2,34,4491.961,428669,8,428669,LBY,1988
H0,GP,JPN,2,38,156.022,20673,8,20673,GUY,1988
H0,GP,JPN,2,38,296.616,20909,8,20909,MRT,1988
H0,GP,JPN,2,27,3025.133,575214,8,575214,CIV,1988
H0,GP,DDR,2,7,2886,1512722,8,1512722,CHE,1988
H0,GP,DDR,2,13,1,97,8,97,TTO,1988
H0,GP,FIN,2,31,87.114,117589,8,117589,BOL,1988
H0,GP,FIN,2,41,2980.688,146520,8,146520,IRQ,1988
H0,GP,FIN,2,36,143.766,56194,8,56194,JOR,1988
H0,GP,FIN,2,20,550.609,639980,8,639980,MLT,1988
H0,GP,FIN,2,41,1369.726,133800,8,133800,PAK,1988
H0,GP,FIN,2,37,40.867,22000,8,22000,KNA,1988
H0,GP,FIN,2,18,307.642,1256375,8,1256375,VEN,1988
H0,GP,FIN,2,42,2.994,74,8,74,DJI,1988
H0,GP,FIN,2,38,0.508,3,8,3,BHR,1988
H0,GP,FIN,2,35,9.018,0,-1,,SEN,1988
H0,GP,JPN,2,39,1240.734,141334,8,141334,IRL,1988
H0,GP,JPN,2,29,9.483,1030,8,1030,PER,1988
H0,GP,JPN,2,39,341.01,12848,8,12848,PRT,1988
H0,GP,PRT,2,39,94752.834,1.15E+08,8,1.15E+08,WLD,1988
H0,GP,JPN,2,38,410929.217,7.48E+07,8,7.48E+07,MEX,1988
H0,GP,PRT,2,5,37.316,12000,8,12000,ESP,1988
H0,GP,PRT,2,37,40694.277,1.51E+07,8,1.51E+07,ESP,1988
H0,GP,PRT,2,13,586.627,286131,8,286131,DDR,1988
H0,GP,PRT,2,41,199713.878,1.50E+07,8,1.50E+07,DDR,1988
H0,GP,PRT,2,38,70870.282,9500735,8,9500735,GBR,1988
H0,GP,PRT,2,25,1759.726,1278115,8,1278115,CPV,1988
H0,GP,PRT,2,39,43.199,1061,8,1061,STP,1988
H0,GP,PRT,2,8,12.216,6842,8,6842,FIN,1988
H0,GP,PRT,2,28,16981.522,660863,8,660863,IRL,1988
H0,GP,PRT,2,23,2.097,1187,8,1187,ZAR,1988
H0,GP,JPN,2,19,429.012,8375,8,8375,SVU,1988
H0,GP,PRT,2,33,22.577,753,8,753,GNQ,1988
H0,GP,PRT,2,18,26.258,2200000,8,2200000,LBY,1988
H0,GP,PRT,2,42,23.664,23362,8,23362,NGA,1988
H0,GP,PRT,2,39,19913.924,6310000,8,6310000,SVU,1988
H0,GP,PRT,2,13,2.793,16405,7,3937,COL,1988
H0,GP,JPN,2,36,22.784,446,8,446,MOZ,1988
H0,GP,PRT,2,37,5.463,0,-1,,WLD,1988
H0,GP,AUS,2,25,163.806,0,-1,,GBR,1988
H0,GP,AUS,2,33,6.775,6112,7,5178,SLB,1988
H0,GP,DDR,2,28,4764175.016,8.75E+07,8,8.75E+07,WLD,1988
H0,GP,AUS,2,26,857.091,6.78E+07,5,67815,SGP,1988
H0,GP,AUS,2,26,187.199,702312,8,702312,BRB,1988
H0,GP,AUS,2,21,227.442,276000,8,276000,CPV,1988
H0,GP,AUS,2,37,97.553,56052,8,56052,JOR,1988
H0,GP,AUS,2,22,1256.082,824948,8,824948,MLT,1988
H0,GP,AUS,2,14,14.117,4000,8,4000,ISR,1988
H0,GP,AUS,2,28,4.653,1937,8,1937,NRU,1988
H0,GP,JPN,2,36,1.74,234,8,234,GHA,1988
H0,GP,AUS,2,19,515.949,154563,8,154563,PYF,1988
H0,GP,AUS,2,25,3432.726,1982644,8,1982644,PYF,1988
H0,GP,AUS,2,28,132.839,3522,8,3522,ARE,1988
H0,GP,AUS,2,41,1868.325,167050,8,167050,WSM,1988
H0,GP,DDR,2,30,95,128533,7,80119,IRQ,1988
H0,GP,DDR,2,33,2062,1343899,7,1155322,ARG,1988
H0,GP,DDR,2,25,48,25601,7,25601,BRA,1988
H0,GP,DDR,2,13,60,149696,7,112300,YUG,1988
H0,GP,DDR,2,34,6,1563,7,1625,VEN,1988
H0,GP,DDR,2,33,567,188759,7,167689,LBY,1988
H0,GP,DDR,2,10,277,1655136,5,96000,SAU,1988
