SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,FIN,1,40,4489.464,190218.0,8,190218.0,PRT,1988
H0,GP,PRT,1,27,30.365,45000.0,8,45000.0,PHL,1988
H0,GP,PRT,1,07,1044.443,297375.0,8,297375.0,PER,1988
H0,GP,PRT,1,27,2460.493,896066.0,8,896066.0,TUR,1988
H0,GP,PRT,1,25,9741.386,9664933.0,8,9664933.0,ARG,1988
H0,GP,PRT,1,08,432.87199999999996,328563.0,8,328563.0,GRC,1988
H0,GP,PRT,1,04,4802.605000000001,6541342.0,8,6541342.0,ZAF,1988
H0,GP,PRT,1,14,59.529,17789.0,8,17789.0,IRL,1988
H0,GP,PRT,1,19,2474.964,5384093.0,8,5384093.0,CAN,1988
H0,GP,PRT,1,28,1054.9910000000002,32009.0,8,32009.0,NOR,1988
H0,GP,PRT,1,33,124278.19899999995,7193654.0,8,7193654.0,CHE,1988
H0,GP,PRT,1,14,11.448,1812.0,8,1812.0,USA,1988
H0,GP,PRT,1,32,245.732,1168574.0,8,1168574.0,DDR,1988
H0,GP,FIN,1,41,290165.1330000003,1.8980197E7,8,1.8980197E7,JPN,1988
H0,GP,PRT,1,27,1234783.8280000002,1.68810022E8,8,1.68810022E8,WLD,1988
H0,GP,JPN,1,40,15124.313999999997,99820.0,8,99820.0,CHE,1988
H0,GP,JPN,1,21,204.099,224726.0,8,224726.0,GHA,1988
H0,GP,JPN,1,25,44.781,17875.0,8,17875.0,GTM,1988
H0,GP,JPN,1,27,50.174,56000.0,8,56000.0,KEN,1988
H0,GP,JPN,1,28,178.46100000000004,11482.0,8,11482.0,NPL,1988
H0,GP,JPN,1,31,48.706,8.0,8,8.0,USP,1988
H0,GP,JPN,1,29,130.844,1620.0,8,1620.0,TUR,1988
H0,GP,JPN,1,42,91.052,1784.0,8,1784.0,TUR,1988
H0,GP,JPN,1,25,52660.96100000001,1.7710626E7,8,1.7710626E7,ARG,1988
H0,GP,JPN,1,40,10.581,198.0,8,198.0,PAK,1988
H0,GP,JPN,1,41,10040.961000000003,3369972.0,8,3369972.0,SVU,1988
H0,GP,DDR,1,29,9586.0,0.0,-1,,WLD,1988
H0,GP,FIN,1,26,451.85400000000004,53441.0,8,53441.0,NLD,1988
H0,GP,DDR,1,26,1.0,105.0,7,97.0,COL,1988
H0,GP,DDR,1,16,35976.0,3.69412992E8,7,3.17638016E8,ARE,1988
H0,GP,DDR,1,37,88.0,2731.0,8,2731.0,KWT,1988
H0,GP,DDR,1,29,1010.0,66934.0,8,66934.0,ETF,1988
H0,GP,DDR,1,05,471.0,913585.0,8,913585.0,MWI,1988
H0,GP,DDR,1,32,9971.0,1.47859376E8,8,1.47859376E8,VEN,1988
H0,GP,DDR,1,40,43.0,686.0,8,686.0,SDN,1988
H0,GP,DDR,1,27,13.0,199.0,8,199.0,GRD,1988
H0,GP,DDR,1,29,8082.0,245948.0,8,245948.0,MAR,1988
H0,GP,DDR,1,33,24636.0,2.1236633E7,8,2.1236633E7,ARG,1988
H0,GP,DDR,1,09,241.0,42898.0,8,42898.0,ARG,1988
H0,GP,DDR,1,36,453875.00800000003,8.0161838E7,8,8.0161838E7,SVU,1988
H0,GP,DDR,1,31,37.0,22377.0,8,22377.0,ISL,1988
H0,GP,DDR,1,20,4120.0,3729187.0,8,3729187.0,ZAF,1988
H0,GP,JPN,1,10,21136.42,215846.0,8,215846.0,FIN,1988
H0,GP,DDR,1,39,7358.0,2.6781084E7,8,2.6781084E7,GRC,1988
H0,GP,DDR,1,27,64637.0,7613956.0,8,7613956.0,SWE,1988
H0,GP,DDR,1,42,16343.0,3064126.0,8,3064126.0,SWE,1988
H0,GP,DDR,1,40,24.0,97.0,8,97.0,UGA,1988
H0,GP,DDR,1,05,14742.0,5.6852984E7,8,5.6852984E7,AUT,1988
H0,GP,DDR,1,41,12.0,406.0,8,406.0,GTM,1988
H0,GP,DDR,1,13,143996.0,9.4965047E7,8,9.4965047E7,WLD,1988
H0,GP,AUS,1,37,11.403999999999998,2698.0,8,2698.0,NOR,1988
H0,GP,DDR,1,33,3.0,97.0,8,97.0,GRL,1988
H0,GP,DDR,1,25,2.0,609.0,8,609.0,BLZ,1988
H0,GP,AUS,1,36,1742.978,1184929.0,8,1184929.0,SGP,1988
H0,GP,IND,1,38,139746.96,2.2588321E7,8,2.2588321E7,JPN,1988
H0,GP,IND,1,25,824.0879999999999,173439.0,8,173439.0,JPN,1988
H0,GP,IND,1,36,13046.818000000001,2968318.0,8,2968318.0,NOR,1988
H0,GP,IND,1,40,4.925,407.0,8,407.0,IDN,1988
H0,GP,AUS,1,21,244.652,215779.0,8,215779.0,GBR,1988
H0,GP,AUS,1,04,96351.08100000003,6.9478651E7,8,6.9478651E7,WLD,1988
H0,GP,IND,1,41,4.822,1000.0,4,,CHN,1988
H0,GP,IND,1,27,18.655,11964.0,2,,ARE,1988
H0,GP,IND,1,37,448.87000000000006,4396.0,5,,SWE,1988
H0,GP,IND,1,41,171.784,0.0,-1,,AUT,1988
H0,GP,IND,1,18,8.981,0.0,-1,,ZAF,1988
H0,GP,IND,1,36,128.372,0.0,-1,,CHE,1988
H0,GP,AUS,1,39,50.696000000000005,32.0,5,,ISR,1988
H0,GP,AUS,1,28,22472.106999999996,4606506.0,5,,KOR,1988
H0,GP,AUS,1,27,34344.71,7464860.0,5,,KOR,1988
H0,GP,AUS,1,41,201085.13000000027,3.6507084E7,5,,ITA,1988
H0,GP,AUS,1,08,56.564,0.0,-1,,GRC,1988
H0,GP,AUS,1,18,4.857,0.0,-1,,OAS,1988
H0,GP,AUS,1,14,0.566,0.0,-1,,DDR,1988
H0,GP,THA,1,33,11699.527,0.0,-1,,WLD,1988
H0,GP,THA,1,39,2.213,1.0,5,,MMR,1988
H0,GP,THA,1,42,154.203,5267.0,8,5267.0,DNK,1988
H0,GP,THA,1,27,0.826,277.0,2,,FIN,1988
H0,GP,THA,1,26,49.745000000000005,6958.0,7,6437.0,JAM,1988
H0,GP,THA,1,31,43165.1,2.1465474E7,8,2.1465474E7,JPN,1988
H0,GP,THA,1,37,14173.453999999998,1.3299989E7,5,,JPN,1988
H0,GP,THA,1,37,66.62899999999999,67761.0,8,67761.0,PRK,1988
H0,GP,THA,1,42,26.409,4700.0,5,,PRK,1988
H0,GP,JPN,1,42,4.034,14.0,2,,AUS,1988
H0,GP,THA,1,41,81160.05300000003,3.9062824E7,5,,KOR,1988
H0,GP,THA,1,07,0.751,3375.0,8,3375.0,LAO,1988
H0,GP,JPN,1,41,37.522,1303.0,5,,FIN,1988
H0,GP,JPN,1,41,11023.149999999998,834977.0,5,,FRA,1988
H0,GP,JPN,1,33,11399.99,0.0,-1,,MYS,1988
H0,GP,THA,1,26,175.447,208296.0,7,208296.0,SGP,1988
H0,GP,JPN,1,42,316.316,0.0,-1,,YUG,1988
H0,GP,THA,1,41,0.662,34.0,8,34.0,ZAF,1988
H0,GP,CHE,1,33,14028.018000000002,9200069.0,8,9200069.0,NOR,1988
H0,GP,CHE,1,40,100.503,546.0,8,546.0,ZAF,1988
H0,GP,CHE,1,28,32.297000000000004,727.0,8,727.0,BOL,1988
H0,GP,CHE,1,27,38834.47499999999,428691.0,8,428691.0,IRN,1988
